id,genre
TRAAAAW128F429D538,HIP_HOP_RAP
TRAAAHJ128F931194C,POP_INDIE
TRAAAMQ128F1460CD3,HIP_HOP_RAP
TRAAAZU128F4226F7A,POP_INDIE
TRAABFH128F92C812E,ROCK_CONTEMPORARY
TRAABHO12903D08576,JAZZ_CLASSIC
TRAABIG128F9356C56,METAL_ALTERNATIVE
TRAABNV128F425CEE1,JAZZ_CLASSIC
TRAABPK128F424CFDB,METAL_DEATH
TRAABTZ128F4278C48,RNB_SOUL
TRAABWX128F1464374,DANCE
TRAACLG128F4276511,DANCE
TRAACLV128F427E123,COUNTRY_TRADITIONAL
TRAACOW128F933E35F,BIG_BAND
TRAACPD128F931C3E7,JAZZ_CLASSIC
TRAACPH12903CF5F14,POP_INDIE
TRAACQT128F9331780,POP_INDIE
TRAADED128F42741FD,GOSPEL
TRAADHC128F4227F6B,DANCE
TRAADKW128E079503A,POP_LATIN
TRAADKZ128F149BDFF,COUNTRY_TRADITIONAL
TRAADQX128F422B4CF,DANCE
TRAADXK12903CFAE92,COUNTRY_TRADITIONAL
TRAAERZ128F1496921,REGGAE
TRAAESC128EF36760E,HIP_HOP_RAP
TRAAFCS128F92F9522,POP_INDIE
TRAAFGQ128F427D884,POP_INDIE
TRAAFOC128F4259332,ROCK_COLLEGE
TRAAFQL128F14AFDB4,DANCE
TRAAGAY128F423CD9B,ELECTRONICA
TRAAGCG128F421CC9F,POP_LATIN
TRAAGKS128F9314884,EXPERIMENTAL
TRAAGNS128E07824BD,RNB_SOUL
TRAAGOC128F425C5AE,ELECTRONICA
TRAAGPJ128F428CD1B,POP_INDIE
TRAAGSZ12903CE35DE,ROCK_COLLEGE
TRAAGVM128E0784D95,METAL_ALTERNATIVE
TRAAHEG128E07861C3,HIP_HOP_RAP
TRAAHER128F92D0354,BIG_BAND
TRAAHHO128F92F654C,REGGAE
TRAAHHZ128F429B6E5,HIP_HOP_RAP
TRAAHPF128F424091D,METAL_ALTERNATIVE
TRAAHPY12903CBD4AE,ROCK_NEO_PSYCHEDELIA
TRAAHSY128F147BB5C,EXPERIMENTAL
TRAAHVW128F149005E,POP_LATIN
TRAAHWZ128F4269B1F,ROCK_CONTEMPORARY
TRAAHYK128F932A08F,DANCE
TRAAHZP12903CA25F4,HIP_HOP_RAP
TRAAIBM128F1497BC4,HIP_HOP_RAP
TRAAIBU128F4262EC6,HIP_HOP_RAP
TRAAIDR128F145A5C2,POP_INDIE
TRAAIFS128E0791341,PUNK
TRAAIGD12903CA2F3C,FOLK_INTERNATIONAL
TRAAITF12903CFE174,EXPERIMENTAL
TRAAIXG128F4297071,HIP_HOP_RAP
TRAAJEK128F422F55A,POP_CONTEMPORARY
TRAAJJE12903CC23A1,ROCK_CONTEMPORARY
TRAAJJG128F4284B27,METAL_ALTERNATIVE
TRAAJJO128F426B6AE,BIG_BAND
TRAAJLY128F42A04A1,EXPERIMENTAL
TRAAJOU128E07872DF,GRUNGE_EMO
TRAAJPG128F42292ED,METAL_ALTERNATIVE
TRAAJXQ128F42A316B,POP_INDIE
TRAAKBQ12903CACE08,METAL_DEATH
TRAAKFF128F42B69BD,ROCK_COLLEGE
TRAAKIU12903CBEF3A,ROCK_COLLEGE
TRAAKJU128F42667AC,ROCK_CONTEMPORARY
TRAAKYB128F4264670,ROCK_HARD
TRAALDI128EF35F6DD,ELECTRONICA
TRAALRL128F92EDA8A,ROCK_CONTEMPORARY
TRAALRZ128F429024E,JAZZ_CLASSIC
TRAALYN128F1452482,ROCK_CONTEMPORARY
TRAAMAI128F426A0AD,METAL_DEATH
TRAAMCQ128F4259A2F,POP_CONTEMPORARY
TRAAMFG128F92FDEA2,JAZZ_CLASSIC
TRAAMFT128F93128AD,METAL_ALTERNATIVE
TRAAMPA128F92E7D0D,HIP_HOP_RAP
TRAAMRI128F932C16D,EXPERIMENTAL
TRAAMUY128F4283222,POP_LATIN
TRAAMXN128F148AD52,ROCK_CONTEMPORARY
TRAAMZV128F149A302,ELECTRONICA
TRAANBH128F9345A6C,METAL_ALTERNATIVE
TRAANJF12903CF11A0,ROCK_HARD
TRAANLO128F422AE37,METAL_HEAVY
TRAANRJ128F931D72D,METAL_ALTERNATIVE
TRAANRS128F92E4F27,POP_CONTEMPORARY
TRAANTF128F42820D7,COUNTRY_TRADITIONAL
TRAANWA128F426ADF0,HIP_HOP_RAP
TRAANZR128F4282FF4,DANCE
TRAAOGD128F421EC7D,ELECTRONICA
TRAAOGR128F425E7BF,METAL_ALTERNATIVE
TRAAOMG12903CE86E2,METAL_DEATH
TRAAONI128F930931C,ELECTRONICA
TRAAOZS128F4283694,ROCK_CONTEMPORARY
TRAAPFE12903CF5DF4,METAL_DEATH
TRAAPKN128F429CE4D,METAL_ALTERNATIVE
TRAAPKW128F428BC93,COUNTRY_TRADITIONAL
TRAAPQX128F1473252,ROCK_HARD
TRAAPSN128F422B2F7,ROCK_HARD
TRAAPUG128F148955D,ROCK_CONTEMPORARY
TRAAQAL128F92EA7A7,POP_LATIN
TRAAQBZ128F14A44AE,JAZZ_CLASSIC
TRAAQKX128F428E76C,FOLK_INTERNATIONAL
TRAAQOU128F92D5955,FOLK_INTERNATIONAL
TRAAQPS128F429161D,ROCK_COLLEGE
TRAARAC128F933532B,ROCK_CONTEMPORARY
TRAARBJ128F9328B09,POP_INDIE
TRAARFN12903D08A8C,METAL_DEATH
TRAARIH128F146542C,DANCE
TRAARKG128F42AC406,COUNTRY_TRADITIONAL
TRAARMC128F92F4F42,POP_LATIN
TRAAROA128F931663B,JAZZ_CLASSIC
TRAARPG128F424FECB,COUNTRY_TRADITIONAL
TRAARQN128E07894DF,METAL_DEATH
TRAARXB128F92FA0BF,METAL_DEATH
TRAASFP128F42980BD,DANCE
TRAASWS128F4246B91,METAL_DEATH
TRAATGM12903C9CD7C,METAL_ALTERNATIVE
TRAATHI128F42911AC,METAL_DEATH
TRAATNJ128F42631BA,METAL_DEATH
TRAATPB128C719688E,METAL_ALTERNATIVE
TRAAUCV12903CCE66A,POP_CONTEMPORARY
TRAAUEO128E0780CB9,METAL_DEATH
TRAAUMN128F4273561,ROCK_ALTERNATIVE
TRAAUQF12903CC4A4D,POP_CONTEMPORARY
TRAAUSW128F426646E,REGGAE
TRAAUZC128F92EF272,ROCK_CONTEMPORARY
TRAAVHN12903CBC329,HIP_HOP_RAP
TRAAVHQ128F42932F3,COUNTRY_TRADITIONAL
TRAAVIT128F92E657C,METAL_HEAVY
TRAAVRU128F423EAE2,POP_INDIE
TRAAVSH128F42637AF,ROCK_HARD
TRAAVWA128F145D887,HIP_HOP_RAP
TRAAVWV128F14A2BF4,ROCK_CONTEMPORARY
TRAAVWW128EF35C893,FOLK_INTERNATIONAL
TRAAWAA12903CE1C8C,EXPERIMENTAL
TRAAWCO128F423A29B,METAL_DEATH
TRAAWDC128F426D663,JAZZ_CLASSIC
TRAAWGX128F42ACD07,POP_CONTEMPORARY
TRAAWGY128F4298A09,ROCK_CONTEMPORARY
TRAAWUH128F427F12C,EXPERIMENTAL
TRAAWYC128F1489A60,ROCK_CONTEMPORARY
TRAAXMF12903CFF0F2,BLUES_CONTEMPORARY
TRAAXPY128F147BE9E,ROCK_COLLEGE
TRAAXTL128F4222D39,COUNTRY_TRADITIONAL
TRAAXUD128F4259FAA,ROCK_COLLEGE
TRAAXVV128F426FAA7,HIP_HOP_RAP
TRAAYCQ128F425EE32,POP_INDIE
TRAAYDT128F9346EFF,GOSPEL
TRAAYPN128F9340DDF,METAL_ALTERNATIVE
TRAAYXE128F4289CA7,METAL_HEAVY
TRAAZJC12903CBB2F0,HIP_HOP_RAP
TRAAZKA128F4261CE1,METAL_ALTERNATIVE
TRAAZPQ128F4276442,PUNK
TRAAZQS12903CA1957,POP_INDIE
TRABAKG128F4262750,METAL_ALTERNATIVE
TRABARB128F147EEEC,METAL_ALTERNATIVE
TRABAWW128F4250A31,POP_INDIE
TRABBFC128F42424F0,POP_INDIE
TRABBHI128F426260D,PUNK
TRABBJE128F92D6631,ROCK_COLLEGE
